5323,楚雄彝族自治州,53,chuxiongyizuzizhizhou
5325,红河哈尼族彝族自治州,53,honghehanizuyizuzizhizhou
5326,文山壮族苗族自治州,53,wenshanzhuangzumiaozuzizhizhou
5328,西双版纳傣族自治州,53,xishuangbannadaizuzizhizhou
5329,大理白族自治州,53,dalibaizuzizhizhou
5331,德宏傣族景颇族自治州,53,dehongdaizujingpozuzizhizhou
5333,怒江傈僳族自治州,53,nujianglisuzuzizhizhou
5334,迪庆藏族自治州,53,diqingcangzuzizhizhou
5401,拉萨,54,lasa
5402,日喀则,54,rikaze
5403,昌都,54,changdong
5404,林芝,54,linzhi
5405,山南,54,shannan
5406,那曲,54,naqu
5425,阿里地区,54,alidiqu
6101,西安,61,xian
6102,铜川,61,tongchuan
6103,宝鸡,61,baoji
6104,咸阳,61,xianyang
6105,渭南,61,weinan
6106,延安,61,yanan
6107,汉中,61,hanzhong
6108,榆林,61,yulin1
6109,安康,61,ankang
6110,商洛,61,shangluo
6201,兰州,62,lanzhou
6202,嘉峪关,62,jiayuguan
6203,金昌,62,jinchang
6204,白银,62,baiyin
6205,天水,62,tianshui
6206,武威,62,wuwei
6207,张掖,62,zhangye
6208,平凉,62,pingliang
6209,酒泉,62,jiuquan
6210,庆阳,62,qingyang
6211,定西,62,dingxi
6212,陇南,62,longnan
6229,临夏回族自治州,62,linxiahuizuzizhizhou
6230,甘南藏族自治州,62,gannancangzuzizhizhou
6301,西宁,63,xining
6302,海东,63,haidong
6322,海北藏族自治州,63,haibeicangzuzizhizhou
6323,黄南藏族自治州,63,huangnancangzuzizhizhou
6325,海南藏族自治州,63,hainancangzuzizhizhou
6326,果洛藏族自治州,63,guoluocangzuzizhizhou
6327,玉树藏族自治州,63,yushucangzuzizhizhou
6328,海西蒙古族藏族自治州,63,haiximengguzucangzuzizhizhou
6401,银川,64,yinchuan
6402,石嘴山,64,shizuishan
6403,吴忠,64,wuzhong
6404,固原,64,guyuan
6405,中卫,64,zhongwei
6501,乌鲁木齐,65,wulumuqi
6502,克拉玛依,65,kelamayi
6504,吐鲁番,65,tulufan
6505,哈密,65,hami
6523,昌吉回族自治州,65,changjihuizuzizhizhou
6527,博尔塔拉蒙古自治州,65,bodongtalamengguzizhizhou
6528,巴音郭楞蒙古自治州,65,bayinguolengmengguzizhizhou
6529,阿克苏地区,65,akesudiqu
6530,克孜勒苏柯尔克孜自治州,65,kezilesukedongkezizizhizhou
6531,喀什地区,65,kashidiqu
6532,和田地区,65,hetiandiqu
6540,伊犁哈萨克自治州,65,yilihasakezizhizhou
6542,塔城地区,65,tachengdiqu
6543,阿勒泰地区,65,aletaidiqu
6590,自治区直辖县级行政区划,65,zizhiquzhixiaxianjixingzhengquhua
